,titleId,title,region,startYear,runtimeMinutes,genres,averageRating,directors,writers
1661,tt0012961,Boomerang Bill,US,1922,60,"Action,Adventure,Crime",2.0,nm0855912,"nm0102250,nm0387549"
1662,tt0012966,The Boss of Camp Four,US,1922,50,Action,3.8,nm0886754,nm0774539
1663,tt0012973,The Burning Soil,US,1922,98,Drama,6.9,nm0003638,"nm0352026,nm0741912,nm0902376"
1664,tt0012975,The Bride's Play,US,1922,70,"Drama,Romance",6.3,nm0856161,"nm0175915,nm0232615"
1665,tt0012980,Broken Chains,US,1922,70,"Adventure,Drama,Romance",4.7,nm0392709,"nm0453834,nm0933133,nm0307819"
1666,tt0012990,Lumpaci the Vagabond,US,1922,90,0,6.3,nm0928910,"nm0626587,nm0928910"
1667,tt0012997,Captain Fly-by-Night,US,1922,50,Drama,5.8,nm0397678,"nm0191547,nm0881333"
1668,tt0012998,Captain Kidd,US,1922,200,Adventure,3.6,"nm0569645,nm0454535","nm0170401,nm0518844"
1669,tt0013000,Cardigan,US,1922,70,Drama,6.8,nm0633605,nm0150432
1670,tt0013022,Come on Over,US,1922,60,Comedy,6.2,nm0337586,nm0400912
1671,tt0013024,Conquering the Woman,US,1922,60,"Drama,Romance",5.7,nm0896542,"nm0163937,nm0746706"
1672,tt0013033,Crainquebille,US,1922,90,Drama,7.0,nm0275494,"nm0275494,nm0289787"
1673,tt0013034,The Crimson Challenge,US,1922,50,"Action,Adventure,Romance",1.4,nm0694260,"nm0736251,nm0228693"
1674,tt0013046,A Dangerous Adventure,US,1922,310,0,5.4,"nm0912580,nm0912491","nm0346843,nm0912580"
1675,tt0013051,Dark Secrets,US,1923,60,Drama,4.7,nm0281808,nm0332539
1676,tt0013071,The Dictator,US,1922,60,"Adventure,Drama,Romance",2.6,nm0190516,"nm0205343,nm0940820"
1677,tt0013075,Dr. Jack,US,1922,60,"Comedy,Romance",7.1,"nm0853130,nm0628345","nm0730018,nm0853130,nm0369841,nm0907778,nm0188274"
1678,tt0013075,Doctor Jack,US,1922,60,"Comedy,Romance",7.1,"nm0853130,nm0628345","nm0730018,nm0853130,nm0369841,nm0907778,nm0188274"
1679,tt0013076,A Doll's House,US,1922,70,Drama,6.2,nm0117065,"nm0406585,nm0623417"
1680,tt0013084,Doubling for Romeo,US,1921,60,Comedy,6.6,nm0046082,"nm0566338,nm0723418,nm0737259"
1681,tt0013085,Down to the Sea in Ships,US,1922,83,"Adventure,Drama,Romance",6.1,nm0166730,nm0670909
1682,tt0013086,The Fatal Passion,US,1922,242,"Crime,Mystery,Thriller",7.8,nm0000485,"nm0415167,nm0902376,nm0000485"
1683,tt0013086,"Dr. Mabuse, the Gambler part one: The Great Gamble",US,1922,242,"Crime,Mystery,Thriller",7.8,nm0000485,"nm0415167,nm0902376,nm0000485"
1684,tt0013086,"Dr. Mabuse, the Gambler. Part two: Inferno",US,1922,242,"Crime,Mystery,Thriller",7.8,nm0000485,"nm0415167,nm0902376,nm0000485"
1685,tt0013086,"Dr. Mabuse, the Gambler",US,1922,242,"Crime,Mystery,Thriller",7.8,nm0000485,"nm0415167,nm0902376,nm0000485"
1686,tt0013091,Dusk to Dawn,US,1922,60,Drama,6.6,nm0896542,"nm0163937,nm0384436"
1687,tt0013093,East Is West,US,1922,80,"Comedy,Romance",7.1,nm0291548,"nm0405219,nm0547966,nm0794112"
1688,tt0013095,Ebb Tide,US,1922,80,"Adventure,Drama",4.7,nm0577654,"nm0600641,nm0829044"
1689,tt0013107,Extra! Extra!,US,1922,50,"Adventure,Romance",5.1,nm0397678,"nm0430756,nm0954654"
1690,tt0013109,The Face in the Fog,US,1922,70,Mystery,7.2,nm0189076,"nm0102250,nm0528351"
1691,tt0013110,Fair Lady,US,1922,70,"Adventure,Crime,Drama",4.5,nm0916177,"nm0063492,nm0267913"
1692,tt0013132,A Woman's Secret,US,1923,50,Drama,5.3,nm0600481,nm0387000
1693,tt0013132,Flames of Passion,US,1923,50,Drama,5.3,nm0600481,nm0387000
1694,tt0013134,Flesh and Blood,US,1922,74,Drama,6.2,nm0191899,nm0510024
1695,tt0013135,Flesh and Spirit,US,1922,56,Drama,6.7,nm0505354,nm0860152
1696,tt0013139,A Fool There Was,US,1922,70,Drama,5.4,nm0283444,"nm0456017,nm0115063,nm0566338"
1697,tt0013140,Foolish Wives,US,1922,117,"Drama,Thriller",7.0,nm0002233,"nm0002233,nm0014703,nm0031033"
1698,tt0013145,Forget Me Not,US,1922,70,Drama,6.5,nm0886754,"nm0167424,nm0843364"
1699,tt0013151,Fox Farm,US,1922,0,"Drama,Romance",7.1,nm0627599,"nm0214356,nm0627599"
1700,tt0013170,The Ghost Breaker,US,1922,57,"Comedy,Horror",6.0,nm0337586,"nm0216755,nm0225469,nm0323766"
1701,tt0013189,Golden Dreams,US,1922,50,Adventure,6.0,nm0358949,"nm0340719,nm0358949"
